"id","city_id","country_code","country_id","country_name_en","country_name_ru","name_en","name_ru","parent_id","pretty_slug","type","slug"
258,258,R,153,Russia,Россия,Anapa,Анапа,6 288 364,anapa,City,anapa
515,515,R,153,Russia,Россия,Beloreck,Белорецк,6 288 314,beloreck,City,beloreck
675,675,R,153,Russia,Россия,Blagoveshchensk,Благовещенск,6 288 306,blagoveshchensk,City,blagoveshchensk
804,804,R,153,Russia,Россия,Chelyabinsk,Челябинск,6 288 320,chelyabinsk,City,chelyabinsk
1 109,1 109,R,153,Russia,Россия,Belgorod,Белгород,6 288 316,belgorod,City,belgorod
1 521,1 521,R,153,Russia,Россия,Khatanga,Хатанга,6 288 365,khatanga,City,khatanga
1 552,1 552,R,153,Russia,Россия,Igarka,Игарка,6 288 365,igarka,City,igarka
1 584,1 584,R,153,Russia,Россия,Irkutsk,Иркутск,965 820 895,irkutsk,City,irkutsk
1 911,1 911,R,153,Russia,Россия,Kurgan,Курган,6 288 366,kurgan,City,kurgan
1 932,1 932,R,153,Russia,Россия,Kotlas,Котлас,6 288 307,kotlas,City,kotlas
1 993,1 993,R,153,Russia,Россия,Kazan,Казань,6 288 539,kazan,City,kazan
2 121,2 121,R,153,Russia,Россия,Lipetsk,Липецк,6 288 368,lipetsk,City,lipetsk
2 242,2 242,R,153,Russia,Россия,Makhachkala,Махачкала,6 288 324,makhachkala,City,makhachkala
2 321,2 321,R,153,Russia,Россия,Mirny,Мирный,6 288 519,mirny,City,mirny
2 395,2 395,R,153,Russia,Россия,Moscow,Москва,965 825 039,moscow,City,moscow
2 416,2 416,R,153,Russia,Россия,Mineralnye Vody,Минеральные Воды,6 288 530,mineralnye_vody,City,mineralnye_vody
2 514,2 514,R,153,Russia,Россия,Nalchik,Нальчик,6 288 349,nalchik,City,nalchik
2 522,2 522,R,153,Russia,Россия,Naberezhnye Chelny,Набережные Челны,6 288 539,naberezhnye_chelny,City,naberezhnye_chelny
