geo_district	лазаревское
price_ukr	ціни
rest	отдых
poi_olympic_park	олимпийский парк
action_buy	купить
acm_hotel_en	hotel
wh_what	что
amn_amn	удобства
amn_basin	бассейн
amn_breakfast	завтрак
action_do	делать
feature_hourly	почасовая
poi_private_sector	частный сектор
amn_smoking	курящие
transaction_feature_wo_mediators	без посредников
amn_jacuzzi	джакузи
action_use	использовать
trip	поездка
lang_ukr	на українській мові
how_many	сколько
acm_acm	проживание
poi_park_en	park
action_select	подобрать
amn_bowling	боулинг
action_drive	ехать
poi_centre	центр
acm_hotels_grand	гранд
contacts_site_ukr	офіційний сайт
amn_banya	баня
wh_where_direction	куда
action_show	показать
wh_where	где
action_overnight	переночевать
amn_laundry	прачечная
contacts_phone	телефон
amn_safe	сейф
amn_kitchen	кухня
geo_oblast_ukr	дніпропетровська
action_save	сэкономить
wh_how	как
action_fly	лететь
poi_park	парк
peninsula	крым
acm_obj_ukr	санаторій
agregator_booking	booking
acm_hostel	хостел
action_see	посмотреть
amn_restaurant	ресторан
word_variant	вариант
resort_en	resort
tickets	билеты
transport_plane	самолёт
acm_minigost	минги-гостиница
	минигостиница
lang_rus	на русском
	на русском языке
amn_parking	парковка
	паркинг
action_phone	позвонить
	звонить
amn_atm	банкомат
	atm
action_stay	остановиться
	пожить
action_perceive	слушать
	смотреть
reviews	отзывы
	отзывы туристов
acm_gost_ukr	готель
	готелі
contacts_site	официальный сайт
	сайт
photo	фото
	фотографии
action_rest	отдохнуть
	отдыхать
tour	туры
	путевки
arrangement	мероприятие
	экскурсия
rating	список
	рейтинг
amn_no_smoking	некурящие
	для некурящих
acm_obj_part	комната
	номер
amn_all_inclusive	всё включено
	все включено
how_far	как далеко
	сколько ехать
map	карта
	карта города
detailed	подробный
	подробно
city_ukr	львів
	львові
	чернігів
amn_newly_weds	новобрачные
	молодожёны
	молодожены
poi_tc	торговый центр
	тц
	карлтон
acm_hotel	отель
	гранд отель
	otel
acm_minihotel	мини-отель
	мини отель
	миниотель
econom_class	эконом класс
	эконом-класс
	экономкласс
acm_gost	гостиница
	г-ца
	гостинница
city_city	г.
	г
	город
amn_beach	пляж
	собственный пляж
	свой пляж
transport_train	поезд
	плацкарт
	плацкартный
geo_uts	витязево
	красная поляна
	лоо
acm_apart	апартотель
	апартаменты
	апарт отель
action_visit	съездить
	сходить
	посетить
	погулять
agregator_ostrovok	островок
	островок.ру
	ostrovok
	ostrvok.ru
amn_internet	интернет
	вайфай
	вай-фай
	wi-fi
acm_hotels_popular	holiday inn
	холидей инн
	хилтон
	парк отель
amn_view	панорамный вид
	лучший вид
	красивый вид
	потрясающий вид
hot	горящие туры
	горячие туры
	горячие путёвки
	горящие путевки
time_season	лето
	осень
	зима
	весна
acm_ghouse	гостевой дом
	гестхаус
	гест-хаус
	гест хаус
price	цены
	цена
	стоимость
	сколько стоит
location_line	первая линия
	1 линия
	1-я линия
	1я линия
space_near	близко
	недалеко
	ближайший
	рядом
	возле
poi_airport	аэропорт
	шереметьево
	домодедово
	внуково
	пулково
city_en	sharm el sheikh
	dubai
	patayya
	hurghada
	istanbul
poi_street_popular	улица
	ул
	ул.
	ленина
	маяковского
action_reach	проехать
	доехать
	попасть
	идти
	добраться
stars_3	3*
	3 *
	три звезды
	трехзвездочный
	трёхзвёздочный
	3 звезды
holiday	новый год
	новогодний
	рождество
	рождественский
	каникулы
	зимние каникулы
poi_metro	метро
	м.
	ст. м.
	ст
	ст м
	станция метро
acm_hostel_popular	друзья
	лайк
	арумс
	граффити
	крыша
	иван да марья
stars_2	2*
	2 *
	две звезды
	двухзвездочный
	двухзвёздочный
	2 звезды
date_year	2015
	2016
	2015г
	2016г
	2015 год
	2016 год
