0	['acm_gost', 'city']	3.369%	гостиницы москвы	163
1	['acm_hostel', 'city']	3.057%	хостел в москве	231
2	['acm_hotel', 'city']	1.508%	отели хургады	73
3	['acm_gost', 'city', 'price_cheap']	1.440%	недорогие гостиницы в москве	40
4	['acm_gost', 'city', 'price']	1.005%	переславль-залесский гостиницы цены	15
5	['acm_gost', 'poi_metro_station']	0.815%	гостиница на братиславской	14
6	['acm_hostel', 'city', 'price_cheap']	0.663%	хостел в санкт-петербурге недорого	19
7	['acm_gost', 'poi_metro', 'poi_metro_station']	0.551%	гостиница метро сокол	5
8	['acm_gost', 'city', 'poi_metro_station']	0.484%	гостиница на перово москва	10
9	['acm_hotel', 'city', 'map']	0.463%	отели пхукета на карте	17
10	['acm_hotel', 'city', 'price_cheap']	0.462%	дешёвые отели в москве	12
11	['acm_gost', 'city', 'map']	0.455%	гостиницы санкт-петербурга на карте города	13
12	['acm_minihotel', 'city']	0.388%	мини отели санкт петербурга	58
13	['acm_hostel', 'geo_oblast']	0.336%	хостел красноярск	36
14	['acm_gost', 'acm_gost_popular', 'city']	0.326%	гостиница октябрьская санкт-петербург	16
15	['acm_gost', 'city', 'poi_metro', 'poi_metro_station']	0.324%	гостиницы метро мякинино москва	7
16	['acm_hostel', 'poi_metro_station']	0.319%	хостел на белорусской	6
17	['acm_gost', 'geo_oblast']	0.295%	гостиницы в новосибирске	17
18	['city', 'price', 'tickets', 'transport_train']	0.285%	сколько стоит билет на поезд до москвы	10
19	['city', 'country']	0.279%	египет шарм эль шейх	188
20	['acm_hotel', 'city', 'price']	0.278%	цена отеля санкт петербурга	8
21	['acm_hotel', 'poi_metro_station']	0.269%	отель на чистых прудах	13
22	['acm_hostel', 'city', 'price']	0.249%	хостел в москве цены	7
23	['acm_gost', 'city', 'contacts_site']	0.217%	гостиницы дивеево официальный сайт	10
24	['acm_hostel', 'city', 'poi_metro_station']	0.205%	хостел на юго-западной москва	4
25	['acm_hotel', 'city', 'stars_5']	0.200%	хургада отели 5 звезд	14
26	['acm_gost', 'city', 'poi_centre']	0.199%	гостиницы в центре москвы	8
27	['acm_gost', 'geo_oblast', 'price_cheap']	0.198%	гостиницы смоленска недорого	8
28	['acm_gost', 'city', 'price', 'price_cheap']	0.197%	дешёвые гостиницы в москве цены	30
29	['agregator_ostrovok']	0.183%	островок	87
30	['acm_hotel', 'amn_basin', 'city']	0.181%	суздаль отели с бассейном	6
31	['acm_gost', 'city', 'date_year', 'price']	0.178%	шерегеш гостиницы цены на 2015	22
32	['acm_hotel', 'city', 'poi_centre']	0.178%	отели в центре праги	10
33	['acm_ghouse', 'city']	0.177%	гостевые дома в калининграде	7
34	['acm_gost', 'acm_hotel', 'city']	0.167%	муром гостиницы и отели	20
35	['country', 'date_year', 'price', 'rest']	0.162%	греция отдых 2015 цены	131
36	['acm_gost', 'poi_metro', 'poi_metro_station', 'space_near']	0.161%	гостиницы рядом с метро профсоюзная	5
37	['acm_gost', 'action2book', 'city']	0.156%	снять гостиницу в санкт-петербурге	6
38	['acm_hostel', 'poi_metro', 'poi_metro_station']	0.154%	хостелы на м речной вокзал	10
39	['acm_gost', 'city', 'poi_metro', 'poi_metro_station_spb']	0.152%	гостиница у метро спортивная питер	4
40	['acm_hotel', 'action2book', 'city']	0.151%	забронировать отель в москве	6
41	['acm_apart', 'city']	0.147%	апартаменты в паттайя	7
42	['acm_hotel', 'acm_hotel_popular', 'city']	0.145%	бристоль отель санкт-петербург	8
43	['acm_gost', 'city', 'poi_metro_station_spb']	0.145%	гостиница приморская сочи	12
44	['acm_gost', 'city', 'poi_metro', 'poi_metro_station', 'space_near']	0.140%	гостиница рядом с метро комсомольская москва	3
45	['acm_gost', 'city', 'city_city']	0.138%	гостиницы г. кемерово	3
46	['action_reach', 'city', 'poi_station', 'wh_how']	0.137%	как добраться с казанского вокзала до домодедово	5
