0	[]	4.590%	москоу кантри клаб	16
1	['acm_hotel', 'city']	3.417%	лучшие отели хургады для отдыха с детьми	9
2	['acm_gost', 'city']	3.378%	метрополь гостиница москва	13
3	['city']	3.345%	гдз по обществознанию 6 класс рабочая тетрадь иванова хотеенкова	24
4	['acm_gost']	1.966%	гостиницы киева	25
5	['acm_hotel']	1.697%	отели киева	22
6	['acm_hostel', 'city']	0.989%	хостелы во львове	19
7	['acm_hostel']	0.945%	хостел в киеве	25
8	['acm_hotel', 'city', 'contacts_site']	0.915%	ялта круглый год отель официальный сайт	46
9	['acm_gost', 'city', 'contacts_site']	0.770%	гостиница комета москва официальный сайт	11
10	['acm_hotel_en']	0.637%	hotels.com	6
11	['city', 'contacts_site']	0.473%	бридж резорт адлер официальный сайт	31
12	['city_en']	0.379%	novotel moscow city	14
13	['acm_gost', 'geo_oblast']	0.371%	гостиницы в осташкове тверской области	5
14	['acm_ghouse', 'city']	0.309%	гостевой дом калина калининград	5
15	['acm_gost', 'poi_metro_station']	0.304%	гостиница комета проспект вернадского	8
16	['acm_gost', 'city', 'price_cheap']	0.293%	гостиницы москвы недорого на ночь на двоих	13
17	['acm_obj', 'city']	0.289%	база отдыха пихтовое выборг	6
18	['acm_hotel', 'city', 'reviews']	0.288%	отель шерстон москва отзывы	3
19	['acm_gost', 'city', 'price']	0.284%	гостиницы пскова и их цены	13
20	['resort_en']	0.274%	hilton phuket arcadia resort spa 5	5
21	['acm_minihotel', 'city']	0.273%	мини отель шампань санкт-петербург	7
22	['city', 'poi_centre']	0.267%	авицена клинико-диагностический центр симферополь	20
23	['city', 'price']	0.255%	еврохостел в хельсинки цены	3
24	['acm_gost', 'city', 'space_near']	0.254%	гостиницы в екатеринбурге рядом с жд вокзалом	6
25	['acm_gost', 'price']	0.236%	гостиницы орла цены	3
26	['acm_gost', 'price_cheap']	0.232%	гостиницы ростова-на-дону недорого	16
27	['action_visit', 'city', 'wh_where_direction']	0.225%	казань достопримечательности куда сходить	6
28	['acm_hotel_popular_en']	0.223%	Grand Theft Auto IV	27
29	['action_reach', 'city', 'wh_how']	0.222%	как доехать от и до в минске на общественном транспорте	4
30	['geo_oblast']	0.219%	букинг ком	10
31	['action_reach', 'wh_how']	0.202%	крокус экспо как добраться на	6
32	['city', 'price', 'tickets', 'transport_train']	0.200%	билет до москвы на поезде цена ржд	11
33	['acm_hotel', 'city', 'map']	0.200%	отели хургады на карте с названиями	7
34	['amn_all_inclusive', 'city', 'date_month', 'date_year', 'price', 'rest']	0.194%	отдых в египте в октябре 2015 цены все включено хургада	50
35	['acm_minihotel']	0.187%	мини отели ростова на дону	9
36	['action_see', 'city', 'wh_what']	0.183%	что посмотреть в минске за 2 дня	8
37	['city', 'wh_where_direction']	0.182%	куда пойти в сочи если дождь	6
38	['acm_obj']	0.176%	санаторий светлана	7
39	['reviews']	0.171%	garima of mandrem 2 отзывы	4
40	['city', 'transport_train']	0.170%	расписание поездов нижний новгород-москва	3
41	['city', 'price', 'tickets']	0.167%	екатеринбург-москва жд билеты цена	4
42	['city', 'reviews']	0.157%	фортуна шарм эль шейх 4 отзывы	4
43	['acm_hotel_en', 'city']	0.151%	valencia hotel симферополь	2
44	['city', 'tour']	0.144%	туры из кемерово	6
45	['acm_hotel_popular']	0.144%	новотель москва сити	49
46	['acm_obj', 'city', 'contacts_site']	0.144%	санаторий светлана москва официальный сайт	16
47	['acm_hotel', 'city', 'price']	0.143%	цены на отели в египте шарм эль шейх	3
48	['poi_metro_station']	0.143%	бархатные сезоны чистые пруды	6
49	['acm_hotel', 'poi_metro_station']	0.143%	отель театральный запорожье	5
50	['acm_gost', 'city', 'poi_metro_station']	0.141%	есть ли гостиница в аэропорту дубая	4
51	['acm_hotel', 'geo_oblast']	0.137%	агиос отель на курской	7
52	['acm_hotel', 'city', 'space_near']	0.132%	отели сочи рядом с горной каруселью	5
53	['price']	0.129%	воротник доктора хорошева цена	5
54	['acm_hotel', 'city', 'price_cheap']	0.128%	отель в москве недорого на сутки	13
55	['acm_gost_popular', 'city']	0.126%	космос кинотеатр кемерово	17
56	['city', 'date_year']	0.125%	курс бата к доллару на сегодня 2015 в паттайе	4
57	['city', 'date_month']	0.121%	паттайя в конце октября	4
58	['acm_apart', 'city']	0.118%	апартаменты посуточно от собственников в ялте	3
59	['acm_gost', 'city', 'city_city']	0.117%	гостиницы мария в города москвы	2
60	['country']	0.116%	турпутевки в египет	6
61	['acm_gost', 'contacts_site']	0.116%	гостиницы мурома официальный сайт	13
62	['acm_hostel', 'city', 'price_cheap']	0.115%	хостелы в москве недорогие 2 местные	17
63	['acm_gost', 'city', 'poi_street_popular']	0.115%	адлер ул петропавловская гостиницы	3
64	['acm_ghouse']	0.115%	гостевой дом кожевники	4
65	['contacts_site']	0.114%	измайлово альфа официальный сайт	11
66	['acm_hotel_popular', 'city']	0.114%	хилтон хургада резорт 5	17
67	['action_reach', 'city', 'poi_metro_station', 'wh_how']	0.112%	как добраться из венеции в аэропорт	5
68	['acm_hotel', 'map']	0.112%	карта отелей шарма	4
69	['acm_hotel_en', 'city_en']	0.112%	vega hotel moscow	3
70	['acm_apart_en']	0.112%	APARTMENTS St. Petersburg	2
71	['city', 'poi_metro_station']	0.110%	станция мякинино москва	4
72	['acm_gost', 'space_near']	0.110%	гостиницы рядом с лялиным переулком 7/2	2
73	['geo_oblast', 'poi_centre']	0.110%	сток центр бытовой техники челябинск	6
74	['city', 'hot']	0.109%	горящие туры в шарм эль шейх из москвы	5
75	['city', 'date_month', 'date_year']	0.108%	погода в хургаде в октябре 2015	6
76	['acm_gost', 'city', 'reviews']	0.108%	гостиница эврика йошкар-ола отзывы	3
77	['acm_gost', 'city', 'map']	0.106%	гостиница ока рязань на карте города	2
78	['city', 'map']	0.104%	ростоши 3 оренбург земельные участки на карте	3
79	['acm_hotel', 'country']	0.104%	отели цахкадзора армения	3
80	['acm_hostel', 'city', 'contacts_site']	0.099%	хостел звезда санкт-петербург официальный сайт	5
81	['acm_hostel', 'geo_oblast']	0.097%	хостелы санк петербуге саха якутия	5
82	['action2book', 'city']	0.097%	снять коттедж в витебске	5
83	['acm_apart']	0.095%	русские апартаменты в лианозово	5
84	['acm_hotel', 'city', 'poi_sea']	0.095%	отели лазаревское на берегу моря	5
85	['city', 'trip']	0.095%	поездка в иваново за текстилем из москвы	5
86	['acm_hotel', 'price']	0.094%	отели киева цены	3
87	['acm_hostel', 'price_cheap']	0.093%	жилье в киеве посуточно недорого хостел	4
88	['city', 'country']	0.092%	топхотелс египет шарм эль шейх	3
89	['city', 'price_cheap']	0.091%	мотели в москве недорого	8
90	['acm_gost', 'city_city']	0.089%	гостиницы г харькова	3
91	['acm_hotel', 'city', 'country']	0.089%	отели айя напа кипр 4звезды	3
92	['rest']	0.089%	отдых в египте	37
93	['acm_gost', 'map']	0.087%	гостиницы ростова-на-дону на карте города	10
94	['acm_hotel', 'space_near']	0.087%	отели египта рядом с сохо	14
95	['city', 'poi_metro']	0.085%	схема метро москвы	5
96	['city_en', 'resort_en']	0.084%	dessole pyramisa sharm el sheikh resort 5	6
97	['action_reach', 'city', 'poi_station', 'wh_how']	0.083%	как из домодедово добраться до ярославского вокзала	3
98	['poi_metro']	0.082%	храм христа спасителя метро	4
99	['city', 'date_year', 'price']	0.082%	цены в паттайе 2015 на еду и одежду	6
100	['city', 'rest']	0.080%	отдых на хуахин с детьми	4
101	['map']	0.080%	карта гостиницулан-удэ	2
102	['city', 'poi_station']	0.079%	хостолы в москве казанский вокзал	2
103	['acm_hostel', 'poi_metro_station']	0.079%	хостел на рижском вокзале	4
104	['city', 'price', 'transport_train']	0.078%	саратов-москва расписание поездов цена	3
105	['acm_gost', 'poi_metro']	0.078%	гостиницы на оранжевой ветке метро	4
106	['acm_hotel', 'city', 'stars_5']	0.076%	отель в грозном 5 звезд контакты	3
107	['acm_hotel', 'price_cheap']	0.074%	отели в ростове на дону недорогие	4
108	['acm_gost', 'acm_gost_popular']	0.073%	гостиница турист в киеве	3
109	['acm_ghouse', 'city', 'contacts_site']	0.072%	гостевой дом исаевский тверь официальный сайт	3
110	['city', 'date_year', 'reviews']	0.072%	сонеста фараон бич резорт хургада отзывы 2015	9
111	['city', 'date_year', 'photo', 'price']	0.071%	киа сид 2015 новый кузов комплектации и цены фото	54
112	['poi_metro_station_spb']	0.071%	лесной бункер солотча	4
113	['action_reach', 'poi_metro', 'wh_how']	0.070%	крокус экспо как добраться на метро	5
114	['stars_4']	0.070%	ramada plaza jumeirah beach residence 4*	2
115	['acm_gost', 'poi_metro', 'poi_metro_station']	0.070%	мини гостиница метро коломенская	4
116	['acm_hotel', 'amn_basin', 'city']	0.068%	отели ялты с бассейном с морской водой	4
117	['action_buy', 'city', 'tickets']	0.068%	купить билет на матч в москве	1
118	['acm_obj', 'contacts_site', 'geo_oblast']	0.067%	лукоморье база отдыха архангельск официальный сайт	25
119	['acm_hotel', 'contacts_site']	0.067%	отель 99 на патриарших прудах официальный сайт	4
120	['city', 'country', 'hot']	0.066%	тайланде паттайя или пхукет горящие туры	34
121	['tour']	0.065%	поиск туров по всем туроператорам	4
122	['acm_hotel_en', 'acm_hotel_popular_en']	0.065%	himeros beach hotel 4	7
123	['acm_gost', 'poi_metro_station_spb']	0.065%	спортивный комплекс олимпийская деревня 80 гостиница	3
124	['acm_hotel', 'reviews']	0.065%	отель на саперном отзывы	2
125	['acm_obj', 'city', 'contacts_site', 'date_year', 'price']	0.065%	санаторий светлана сочи официальный сайт цены на 2015 год	8
126	['city', 'geo_oblast', 'hot']	0.065%	горящие туры из иркутска в паттайю	11
127	['city', 'poi_street_popular']	0.064%	домодедово ул осенняя1	3
128	['acm_gost', 'city', 'poi_metro']	0.064%	гостиницы москвы метро новослобоская	4
129	['stars_3']	0.064%	Eastiny Place 3*	5
130	['city', 'city_city']	0.064%	гостицы в городе ярославль	2
131	['acm_gost', 'city', 'photo']	0.063%	гостиница фараон алматы фото	4
132	['acm_hotel', 'acm_hotel_popular']	0.062%	отель марриотт новый арбат	8
133	['city', 'tickets', 'transport_train']	0.060%	наличие билетов на поезд до москвы	2
134	['action_reach', 'poi_metro_station', 'wh_how']	0.059%	как от полянки доехать до красной площади	2
135	['arrangement', 'city', 'date_year', 'price']	0.059%	экскурсии в паттайе 2015 цены и описание	14
136	['city', 'photo']	0.059%	бон апарт одесса фото постояльцев	2
137	['acm_hotel', 'city', 'poi_metro_station']	0.059%	сити комфорт отель на арбатской	4
