орогие отели сиднея рядом с плчжем	set(['city', 'acm_hotel'])
новости в хургаде сегодня 19 октября 2015	set(['date_month', 'date_year'])
поезд москва саранск цена билета	set(['city', 'price', 'transport_train'])
отели новороссийска 5 звезд	set(['city', 'acm_hotel'])
пихтовое база отдыха официальный сайт выборг	set(['city', 'contacts_site', 'rest'])
гостиницы в среднеуральске цены	set(['city', 'price', 'acm_gost', u'full'])
rend an apartment in moscow	set([])
хостел в центре парижа	set(['city', 'poi_centre'])
палм отель на окской	set(['acm_hotel'])
туристический комплекс ялта круглый год	set(['city'])
русские апартаменты в лианозово	set([])
телефон гостиницы "кокшетау"	set(['acm_gost', 'contacts_phone'])
гостиницы челябинска цены	set(['city', 'price', 'acm_gost', u'full'])
гостиница метро беляево москва	set(['city', 'poi_metro_station', 'poi_metro', u'full', 'acm_gost'])
гастиница в москве	set(['city'])
дешевые отели гданьска	set(['price_cheap', 'city', u'full', 'acm_hotel'])
ростов мини отель	set(['acm_hotel'])
пансионаты геленджика с собственным пляжем	set(['acm_obj', 'city', u'full', 'amn_beach'])
москва хостел дешево	set(['price_cheap', 'city'])
red sea hotels шарм эль шейх	set(['city'])
обувь rocco p в спб	set(['city'])
гостиница прибалтийская санкт-петербург фото	set(['photo', 'acm_gost', 'city'])
imperial shams abu soma resort km 9 safaga | road abu soma	set(['resort_en'])
Terme Bristol Buja Hotel Abano Terme	set(['acm_hotel_en'])
гостиница свиблово москва	set(['city', 'poi_metro_station', 'acm_gost', u'full'])
кастельфидардо на карте италии	set(['country', 'map'])
хостел в белгороде рядом с белгу	set(['city'])
гостиницы минска	set(['city', 'acm_gost', u'full'])
гостиницы в красногорске	set(['city', 'acm_gost', u'full'])
ангитерн гостиница	set(['acm_gost'])
отели на ночь в москве недорого	set(['price_cheap', 'city', 'acm_hotel'])
имя гостиница в красноярске	set(['city', 'acm_gost'])
отель пирамида казань официальный сайт	set(['city', 'contacts_site', 'acm_hotel'])
гостиница на дмитровском ш	set(['acm_gost'])
хургада отели 4 звезды 1 линия все включено цены	set(['price', 'location_line', 'acm_hotel'])
отель астон санкт-петербург официальный сайт	set(['city', 'contacts_site', 'acm_hotel'])
отель в санкт-петербурге метро сенная площадь	set(['city', 'poi_metro', 'acm_hotel'])
гостиницы в печатниках москва	set(['city', 'acm_gost'])
гостиница на ночь в нижнем новгороде	set(['city', 'acm_gost'])
апартаменты на павленко ялта	set(['city'])
койка в хостэле ростов на дону	set([])
пхукет отзывы туристов 2015 цены	set(['island', 'price', 'acm_gost_popular', 'date_year', 'city'])
гостиница мечта алушта крым	set(['peninsula', 'city', 'acm_gost'])
отель в шармель тропитель	set(['acm_hotel'])
спб  гостиница на м.  елизаровская	set(['city', 'acm_gost'])
отели в севастополь на берегу моря все включено цены 2015	set(['city', 'price', 'poi_sea', 'date_year', 'acm_hotel'])
пансионат для похудения в подмосковье	set(['acm_obj'])
маленький париж краснодар официальный сайт	set(['city', 'contacts_site'])
отель казанова чебоксары	set(['city', 'acm_hotel'])
гостиница синдбад	set(['acm_gost'])
мини отель в курске	set(['city', 'acm_hotel'])
крым отдых для туристов отели  4 звезды	set(['peninsula', 'acm_gost_popular', 'rest', 'acm_hotel'])
отель рядом с аптекарским переулком д.9	set(['acm_hotel'])
хостел симферополь	set(['city'])
цена билета до москвы на 41 поезд плацкарт	set(['city', 'price', 'transport_train'])
спа отель в петергофе с бассейном	set(['city', 'amn_basin', 'amn_spa', u'full', 'acm_hotel'])
гостиницы около баскет холла казань	set(['city', 'acm_gost'])
отели ессентуков с бассейном	set(['city', 'amn_basin', u'full', 'acm_hotel'])
отель ибис в варшаве на остробрамской	set(['city', 'acm_hotel_popular', 'acm_hotel'])
хостел спб	set(['city'])
хостел москва	set(['city'])
отель пирамида казань официальный сайт	set(['city', 'contacts_site', 'acm_hotel'])
гостиница турист в киеве	set(['city', 'acm_gost', u'full', 'acm_gost_popular'])
мини отели у метро политехническая спб	set(['city', 'poi_metro', 'acm_hotel'])
санаторий славутич алушта официальный сайт	set(['acm_obj', 'city', 'contacts_site'])
как добраться от динамо до парка победы	set(['poi_metro_station', 'wh_how', 'action_reach', 'poi_park'])
отель пушкин москва 5 звезд	set(['city', 'acm_hotel'])
гостиница ренессанс минск	set(['city', 'acm_gost'])
гостиницы метро чеховская	set(['poi_metro', 'acm_gost'])
гостиницы в районе метро чертаново	set(['poi_metro', 'acm_gost'])
москва отель на чистых прудах сайт	set(['city', 'contacts_site', 'acm_hotel'])
гостиница кора вип вакансии	set(['acm_gost'])
гостиница пулковская на варшавсой	set(['acm_gost'])
гостиницы в ростове на дону на карте города	set(['map', 'acm_gost', 'city_city'])
хостел на крещатике в киеве	set(['city'])
